URL,Title,Address,Description,Compensation,Employment Type
https://newyork.craigslist.org/lgi/egr/6178540233.html,Draftsman,,"
        
Published Mid-High End custom residential firm seeking 3-7 year draftsman, project manager.  Candidate must have min 4yr Arch degree.  Motivated for path to RA desirable but not required and Salary is commensurate.
Backlog of projects so must be able to contribute immediately producing CDs, dealing with Building Dept, and preparing for ARB meetings.  Must have many demonstrated examples of CDs.  Not interested in renderings, just interested in drawing elevations and details in Autocad, no renderings, no revit.  
Very close to Manhasset LIRR station. Easy studio environment, flex hours, 55k with 401k Benefits. 
Looking for long-term, full-time in house only, no freelance.    ",55k with Benefits,full-time
https://newyork.craigslist.org/mnh/egr/6178146462.html,Intermediate Architect | Events Architecture | NYC Codes,Midtown,"
        
You don't have to do drafting all day long anymore!

Are you planning to become a licensed architect in the near future?
Working directly under a senior project manager you will be trained to develop the technical aspects of fast paced public assembly, events architecture projects.  
One focus of this role is to apply the New York City Building Code to multiple projects throughout the city.  
Your keen AutoCAD skills will also be utilized.  

Great salary and benefits! 

Requirements:
Bachelor of Architecture of Masters of Architecture from an accredited University.
New York City professional work experience. 
5 years professional experience in an office. 
Immediate full time availability. 

Please submit your detailed PDF resume plus work samples as soon as possible for immediate consideration.



    ",75K,full-time
https://newyork.craigslist.org/fct/egr/6178291073.html,Field Technician/ Construction Inspector,Norwalk,"
        

Looking for a high school graduate to work as field technician for a materials testing company in Connecticut/New York area.   
 Duties to include:-  inspecting & testing accurately concrete, rebar and soils, meeting deadlines, communicating issues/problems quickly and reporting the data in a timely manner.
- Able to work well on a Construction site, as a credible support to each project
- Field work involves collecting soil or concrete samples, testing concrete, evaluating and reporting results 
- documenting results of tests & inspections for reports,
- Able to learn the NVLAP/AASHTO preparation process ensuring all proper documentation, and submission of correct, accurate paperwork.-Willing to work hard, Detail orientation,
-ACI Certification preferred
We are looking for good communication skills, initiative, and high energy.
Position available immediately
Great benefits: medical, 401K after a year, and others available.
Only sincere interested parties to apply.Great learning and growth opportunity
References required, Criminal Check will be done.
Must have own car and valid driver's license.(Lab may be expanding territory).    ",$15-20 per hour depending on experience,full-time
https://newyork.craigslist.org/brx/egr/6178374660.html,"On site Construction Project Manager, must be able to understand DRWGS","Bronx project, Queens office","
        
Construction company is looking for an aggressive project manager for a long-term project. Candidate MUST be fluent in reading and interpreting drawings, and have strong ability to oversee and supervise construction.  Must have problem solving and communication skills.  Experience with quantity take offs is a plus.  Please send your resume and include required compensation.  EOE.    ",Based on experience and qualifications,full-time
https://newyork.craigslist.org/brk/egr/6177437598.html,Construction Background Intermediate Level Architect Interior Design,,"
        
We are a general contracting company serving Brooklyn and Manhattan looking for an Intermediate Level Architect or Interior Designer for an Operations Manager position. We are looking for employees that have experience ​ in any field of Architecture, Engineering or Construction management and ​​in the following: Filing, Reading Construction Drawings, QuickBooks Online, Microsoft Word and Excel. ​Must be able to demonstrate excellent verbal and written communication skills. Basic qualification education and experience.​ ​Must have a valid New York State issued driver's license. Workers should speak, read and write English and Spanish. Salary based on experience.

Please email resume and include full name, email, and phone number. Thank you for your interest. We look forward to hear from you.    ",Salary based on experience.,full-time
https://newyork.craigslist.org/stn/egr/6177627464.html,Architectural Project Manager,NYC / Staten Island,"
        
Busy, young architecture firm seeking Project Manager.
Offices in NYC and Staten Island (both within walking distance of ferry).
Full-time position. Immediate start available.

Requirements & Qualifications:

-BA in Architecture.
-One year minimum experience.
-Proficiency with AutoCAD. Rendering proficiency is preferred (not required).
-Tasks include site visits to ascertain existing conditions, preparation of construction documents, light interaction with DOB forms.
-Daily correspondence with team and client to give updates on status of all current projects.
-Good communication skills.

*Applicants with Drivers License are preferred, as you may be asked to drive to site visits.    ",negotiable based upon work experience and abilities,full-time
https://newyork.craigslist.org/que/egr/6177213642.html,Junior Electrical Estimator,Maspeth,"
        
Junior Estimator needed for a small but growing Electrical Contracting Firm

Must know All Areas of Electrical Work -Must be experienced and qualified to estimate small to large scale projects.

*MUST BE DETAILED* 

• Compile Bid Documents
• Proficient in Blueprint Reading
• Composing take-offs 
• Estimating projects
• Auto-Cad is a plus

Must be capable of working in a very fast paced environment, 
Knowledgeable enough to attend bid-walks.
Candidate must be very organized and reliable.

This job will require you to work closely with our staff Engineer.

Please send your resume with your salary requirements

 START IMMEDIATELY
    ",Based on Experience,full-time
https://newyork.craigslist.org/jsy/egr/6177096101.html,Interior Architecture Project Manager,Woodbridge,"
        
Ware Malcomb is hiring an Interior Architecture Project Manager in our Woodbridge, NJ office.

Interior Architecture Project Manager candidates requirements:

-Bachelor's Degree in Architecture 
-10+ years of Corporate Office Interior Design project experience
-Excellent communication, mentor and organizational skills
-Entrepreneurial spirit encouraged
-AutoCAD and/or Revit knowledge

Ware Malcomb is an international design firm offering integrated services throughout the world.  Founded in 1972, Ware Malcomb offers planning, architecture, interior design, branding, civil engineering, and sustainable design services to diverse clients.

Ware Malcomb offers the best of both worlds, a small office supportive and nurturing work environment with large company amenities and resources which provides amazing opportunity for internal growth.  Ware Malcomb offers a whole life balance, health-focused company culture, competitive salary and overall benefits package.

**Must be legally authorized to work in the United States**

Submit resume:     ",Based on experience please provide current or previous salary,full-time
https://newyork.craigslist.org/mnh/egr/6178379260.html,CNC operator,Long Island City,"
        
Display and wood cabinetry interior manufacturing company seeking motivated and responsible individual to perform shop duties, with primary responsibility to run our 3-axis CNC machines. 

Candidate must be flexible and have some experience in setting up and running a CNC router and cabinet making experience. Materials used will have a wide range; from MDF and plywood to plastics and aluminum. 

Candidate must:
-	Be able to read shop drawings
-	Understand CNC tooling and make necessary adjustments for proper cutting. 
-	Have a basic understanding of Autocad (be able to pull measurements and create basic objects.)
-	Experience with Rhino is a plus
-       Experienced with Thermwood CNC routers 


Duties will include programming with Enroute and other wood working shop duties as assigned. 

Hours are Monday through Friday, 8:30AM -- 5:30PM, but must be available for regular overtime, working until 8:30PM at times. 

•	Location: Long Island City
•	Compensation: based on experience 
•	Principals only. Recruiters, please don't contact this job poster.
•	Please, no phone calls about this job!
    ",tbd,full-time
https://newyork.craigslist.org/mnh/egr/6177105581.html,Interior Design Job Captain,Flatiron,"
        
Ware Malcomb is hiring an Interior Design Job Captain in our New York City office. 
 
The Interior Design Job Captain assists the Project Manager or Architect in the management of multiple interior architecture projects.

Candidate must have:
-Bachelor's degree in Interior Design or Architecture
-3 years of work experience in commercial interior architecture
-Strong AutoCAD and/or Revit skill set
-Experience using Sketch Up, 3D Rendering and Adobe Creative Suite
-Strong organization, communication and problem solving skills
-Excellent presentation skills
-Basic knowledge of current building code, including ADA requirements

Ware Malcomb is an international design firm offering integrated services to clients throughout the world. Founded in 1972, Ware Malcomb offers planning, architecture, interior design, civil engineering, branding and sustainable design services to diverse clients.

Ware Malcomb offers the best of both worlds, a small office supportive and nurturing work environment with large company amenities and resources which provides amazing opportunity for internal growth.  Ware Malcomb offers a whole life balance, health-focused company culture, competitive salary and overall benefits package.

**Must be legally authorized to work in the United States**

Submit resume:     ","Based on experience, provide current or previous salary.",full-time
